x,Cf,Cf_theory
0.106133,0.000573218,0.00033239
0.106416,0.000539457,0.000331948
0.106699,0.000449463,0.000331508
0.106981,0.000615423,0.00033107
0.107264,0.000478243,0.000330634
0.1075,6.24389e-05,0.000330271
0.107547,0.000653149,0.000330199
0.107829,0.00047208,0.000329766
0.108112,0.000583492,0.000329335
0.108395,0.00043006,0.000328905
0.108677,0.000579488,0.000328477
0.10896,0.000502891,0.000328051
0.109243,0.000760085,0.000327626
0.109525,0.000535456,0.000327203
0.109808,0.000665795,0.000326782
0.11009,0.00050059,0.000326362
0.110373,0.00060692,0.000325944
0.110656,0.000537619,0.000325527
0.110938,0.000419599,0.000325112
0.111221,0.000569807,0.000324699
0.111504,0.000487765,0.000324287
0.111786,0.000718517,0.000323877
0.112069,0.000486587,0.000323468
0.112352,0.000586588,0.000323061
0.112634,0.000429027,0.000322655
0.112917,0.000612595,0.000322251
0.1132,0.000878469,0.000321849
0.113482,0.000698555,0.000321448
0.113765,0.000662403,0.000321048
0.114047,0.000589433,0.00032065
0.11433,0.000483495,0.000320253
0.114613,0.000572171,0.000319858
0.114895,0.000479805,0.000319465
0.115178,0.000642684,0.000319072
0.115461,0.000502799,0.000318682
0.115743,0.000658735,0.000318292
0.115833,4.8525e-05,0.000318169
0.116026,0.000454701,0.000317904
0.116309,0.000463211,0.000317518
0.116591,0.000802556,0.000317133
0.116874,0.000720529,0.000316749
0.117157,0.00060136,0.000316367
0.117439,0.000469096,0.000315986
0.117722,0.00064658,0.000315606
0.118005,0.000480703,0.000315228
0.118287,0.000661604,0.000314851
0.11857,0.000467001,0.000314476
0.118852,0.000483118,0.000314102
0.119135,0.000491349,0.000313729
0.119418,0.000634395,0.000313357
0.1197,0.000483597,0.000312987
0.119983,0.000605084,0.000312618
0.120266,0.000537142,0.000312251
0.120548,0.000535823,0.000311884
0.120831,0.000455162,0.000311519
0.121114,0.000629682,0.000311156
0.121396,0.000667371,0.000310793
0.121679,0.000492323,0.000310432
0.121962,0.000663912,0.000310072
0.122244,0.000478492,0.000309713
0.122527,0.000616759,0.000309356
0.122809,0.000469548,0.000309
0.123092,0.0006116,0.000308645
0.123375,0.000704397,0.000308291
0.123657,0.000404757,0.000307939
0.12394,0.000568994,0.000307587
0.124167,3.77263e-05,0.000307306
0.124223,0.000396822,0.000307237
0.124505,0.000693536,0.000306888
0.124788,0.000658251,0.00030654
0.125071,0.00059175,0.000306194
0.125353,0.000553362,0.000305848
0.125636,0.000577915,0.000305504
0.125919,0.000665492,0.000305161
0.126201,0.000664809,0.000304819
0.126484,0.000490643,0.000304478
0.126767,0.000718106,0.000304139
0.127049,0.000503499,0.0003038
0.127332,0.000645455,0.000303463
0.127614,0.000455403,0.000303127
0.127897,0.000611002,0.000302792
0.12818,0.000827422,0.000302458
0.128462,0.000673886,0.000302125
